person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
21,11.002099841204238,6.0,2,10.126631103850338,10.99,1,0.42,0,4,0,0,1,0,1,0,0,0
25,11.034228154955759,9.0,3,10.126631103850338,12.73,1,0.4,0,2,0,0,1,0,0,1,0,0
22,10.940224437486151,2.0,4,10.126631103850338,14.96,1,0.44,1,3,0,0,1,0,0,0,0,0
23,12.206072645530174,7.0,1,10.239959789157341,11.011694892245036,0,0.14,0,2,1,0,0,0,1,0,0,0
21,12.206072645530174,2.0,3,10.126631103850338,13.99,0,0.13,0,2,1,0,0,1,0,0,0,0
24,12.206072645530174,3.0,1,10.085809109330082,7.49,0,0.12,0,4,1,0,0,0,0,0,0,1
26,12.206072645530174,4.0,3,9.615805480084347,14.79,0,0.07,0,3,1,0,0,0,1,0,0,0
25,12.206072645530174,2.0,2,9.648595302907339,11.99,0,0.08,0,2,1,0,0,1,0,0,0,0
24,12.206072645530174,8.0,1,9.210340371976184,8.49,0,0.05,0,4,0,0,1,0,1,0,0,0
24,11.097410021008562,3.0,2,10.126631103850338,9.91,1,0.38,0,2,0,0,1,0,1,0,0,0
22,11.097410021008562,6.0,3,10.126631103850338,13.06,1,0.38,1,3,0,0,1,0,1,0,0,0
22,12.206072645530174,6.0,1,9.104979856318357,6.17,0,0.04,0,4,1,0,0,1,0,0,0,0
144,12.206072645530174,4.0,2,8.699514748210191,11.86,0,0.03,0,2,1,0,0,0,1,0,0,0
25,12.206072645530174,5.0,4,9.798127036878302,16.32,0,0.09,0,3,0,0,1,0,1,0,0,0
25,12.206072645530174,2.0,2,9.392661928770137,10.38,0,0.06,0,2,1,0,0,0,0,0,0,1
25,12.206072645530174,9.0,3,10.045421048424794,14.35,0,0.12,0,3,1,0,0,0,0,0,1,0
24,12.206072645530174,8.0,2,9.903487552536127,11.011694892245036,0,0.1,0,3,1,0,0,1,0,0,0,0
24,11.002099841204238,2.0,5,10.126631103850338,11.011694892245036,1,0.42,1,2,0,0,1,1,0,0,0,0
21,9.574983485564092,0.0,2,8.006367567650246,11.011694892245036,1,0.21,0,4,0,1,0,0,0,0,0,0
26,11.112388195098362,10.0,4,10.126631103850338,15.21,1,0.37,1,2,0,0,1,0,0,0,1,0
23,11.112447898373103,3.0,1,10.126631103850338,7.9,1,0.37,0,4,0,0,1,0,1,0,0,0
24,11.112447898373103,2.0,2,10.126631103850338,10.99,1,0.37,0,3,0,0,1,0,0,0,0,1
24,11.127262984158243,5.0,4,10.126631103850338,14.09,1,0.37,1,3,0,0,1,0,0,0,1,0
25,11.141861783579396,9.0,4,10.126631103850338,17.49,1,0.36,0,2,0,0,1,0,0,0,1,0
25,12.206072645530174,0.0,2,9.392661928770137,11.48,0,0.06,0,3,1,0,0,0,1,0,0,0
26,12.144197241812087,10.0,5,9.903487552536127,17.74,1,0.11,0,2,1,0,0,0,0,0,0,1
26,12.206072645530174,4.0,3,8.006367567650246,13.92,0,0.01,0,3,1,0,0,0,0,0,1,0
25,11.156193376541639,9.0,4,10.126631103850338,15.21,1,0.36,0,3,0,0,1,0,1,0,0,0
22,9.574983485564092,2.0,2,8.294049640102028,10.99,1,0.28,0,3,0,1,0,0,0,1,0,0
24,11.156250521031495,3.0,2,10.126631103850338,11.86,1,0.36,0,4,0,0,1,0,1,0,0,0
24,9.574983485564092,5.0,1,8.699514748210191,7.49,1,0.42,0,3,0,1,0,0,0,0,1,0
24,10.934891091510787,7.0,4,10.126631103850338,16.49,1,0.38,0,4,0,0,1,0,0,1,0,0
25,11.097410021008562,9.0,4,10.126631103850338,15.33,1,0.38,1,2,0,0,1,0,0,0,0,1
26,11.097410021008562,3.0,2,10.126631103850338,11.58,1,0.38,0,4,0,0,1,0,0,0,0,0
25,9.574983485564092,7.0,1,8.589513852995864,5.79,1,0.37,0,2,0,1,0,0,1,0,0,0
25,11.192885476410321,9.0,3,10.126631103850338,13.11,1,0.34,0,2,0,0,1,0,0,1,0,0
23,11.211820372186306,3.0,2,10.126631103850338,10.36,1,0.34,0,3,0,0,1,0,0,1,0,0
25,11.225243392518447,9.0,2,10.126631103850338,10.36,1,0.33,0,2,0,0,1,1,0,0,0,0
24,12.165250651009918,0.0,3,9.998797732340453,11.011694892245036,0,0.11,1,2,0,0,1,0,0,1,0,0
21,12.165250651009918,123.0,1,9.903487552536127,6.54,0,0.1,0,4,1,0,0,0,0,0,0,1
25,12.160028707028767,1.0,2,9.210340371976184,12.53,0,0.05,0,4,1,0,0,0,0,1,0,0
26,12.15635705328424,5.0,1,9.615805480084347,11.011694892245036,0,0.08,0,3,1,0,0,0,0,0,1,0
22,12.154779351142624,3.0,3,9.210340371976184,11.011694892245036,0,0.05,0,3,1,0,0,0,0,0,0,1
24,11.225243392518447,4.0,2,10.126631103850338,10.25,1,0.33,0,4,0,0,1,0,1,0,0,0
22,11.170435156023453,1.0,4,10.126631103850338,15.95,1,0.35,1,4,0,0,1,0,1,0,0,0
26,12.154779351142624,3.0,2,9.903487552536127,12.18,0,0.11,0,4,1,0,0,0,0,0,0,1
23,12.154758298289435,0.0,2,10.085809109330082,11.83,0,0.13,0,3,0,1,0,0,0,0,1,0
23,11.26446410567173,7.0,3,10.126631103850338,11.011694892245036,1,0.32,1,2,0,0,1,1,0,0,0,0
23,11.26446410567173,1.0,2,10.126631103850338,10.62,1,0.32,0,3,0,0,1,0,0,0,0,1
23,11.270904857886329,7.0,2,10.126631103850338,10.74,1,0.32,0,3,0,0,1,0,0,0,0,1
25,12.133501952695338,9.0,2,9.210340371976184,10.25,0,0.05,0,4,0,1,0,0,0,0,0,1
24,12.128111104060462,4.789686296787225,2,10.46310334047155,12.42,0,0.19,0,2,1,0,0,0,1,0,0,0
25,12.128111104060462,6.0,3,9.615805480084347,15.27,0,0.08,0,2,0,0,1,0,0,0,0,1
24,11.035695790632753,8.0,4,10.126631103850338,15.33,1,0.34,1,2,0,0,1,0,0,1,0,0
23,11.282455138269558,7.0,4,10.126631103850338,15.21,1,0.31,1,2,0,0,1,0,0,0,0,1
21,9.574983485564092,4.0,3,8.740336742730447,14.72,1,0.43,0,2,0,1,0,0,0,0,0,1
24,11.285158743253763,8.0,4,10.126631103850338,15.7,1,0.31,1,2,0,0,1,0,0,0,1,0
24,11.285171301098336,0.0,3,10.126631103850338,13.35,1,0.31,0,4,0,0,1,0,1,0,0,0
21,9.574983485564092,0.0,3,7.313220387090301,11.011694892245036,0,0.1,0,4,1,0,0,0,0,1,0,0
24,11.289781913656018,6.0,1,10.126631103850338,6.62,1,0.31,0,2,0,0,1,0,1,0,0,0
26,11.289781913656018,5.0,3,10.126631103850338,13.61,1,0.31,0,4,0,0,1,1,0,0,0,0
22,12.128111104060462,4.0,2,10.126631103850338,11.36,0,0.14,0,2,0,0,1,0,0,1,0,0
26,12.128111104060462,10.0,1,8.517193191416238,7.68,0,0.03,0,2,0,1,0,0,0,0,1,0
24,12.128067859882202,7.0,4,9.998797732340453,14.46,0,0.12,1,4,0,0,1,0,0,0,0,0
23,12.122691036591123,5.0,2,7.824046010856292,11.83,0,0.01,0,2,0,1,0,0,1,0,0,0
24,12.05524975579559,6.0,3,9.903487552536127,13.47,1,0.12,1,4,1,0,0,1,0,0,0,0
24,12.117241431823558,2.0,2,9.903487552536127,11.49,0,0.11,0,3,1,0,0,0,0,1,0,0
22,12.117241431823558,3.0,1,6.907755278982137,11.011694892245036,0,0.01,0,2,1,0,0,0,1,0,0,0
25,12.11697910233622,9.0,1,9.615805480084347,6.03,0,0.08,0,3,1,0,0,0,0,0,1,0
23,11.211874424779493,7.0,5,10.126631103850338,16.35,1,0.34,0,4,0,0,1,1,0,0,0,0
26,11.211874424779493,10.0,4,10.126631103850338,11.011694892245036,1,0.34,1,4,0,0,1,1,0,0,0,0
25,11.302204433654575,5.0,1,10.126631103850338,7.29,1,0.31,0,3,0,0,1,1,0,0,0,0
23,11.309584540952198,1.0,2,10.126631103850338,11.36,1,0.31,0,3,0,0,1,0,0,1,0,0
24,11.314474526246391,8.0,2,10.126631103850338,10.25,0,0.3,0,2,0,0,1,0,0,0,0,1
24,11.326595886778735,5.0,2,10.126631103850338,11.12,0,0.3,0,3,0,0,1,0,1,0,0,0
24,11.326595886778735,5.0,4,10.126631103850338,12.92,0,0.3,1,3,0,0,1,0,0,0,1,0
24,12.100712129872347,8.0,5,9.798127036878302,18.64,0,0.1,1,4,0,0,1,0,1,0,0,0
23,12.100712129872347,8.0,1,10.239959789157341,7.51,0,0.16,0,3,1,0,0,0,0,0,1,0
23,9.574983485564092,2.0,5,8.294049640102028,16.7,1,0.28,0,2,0,1,0,0,0,0,0,0
